loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),deviceID(txt),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2026-03-03T15:48:18.599-08:00,89098.25385375001,0.1304168701171875,-0.442108154296875,-0.916839599609375,89098.23386675,2.758514697838002,0.1288905266237201,0.4608570150107569,0.006055310368537903,-0.05132068693637848,0.1596667915582657,-0.002575390040874481,-0.01347503066062927,-0.04445123672485352,XArbitraryZVertical,0.01816263471037347,-0.2356884118739636,-0.9565803951718574,-0.1705136439844588,0.1151242181658745,-0.4447158873081207,-0.8882421851158142,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.620-08:00,89098.27383975001,0.12353515625,-0.43609619140625,-0.8877105712890625,89098.25385375001,2.761512575084835,0.1263437271916793,0.4603387159598236,-0.0871710330247879,-0.06251314282417297,0.1021349877119064,0.01752616465091705,0.002143442630767822,-0.02807849645614624,XArbitraryZVertical,0.01734867777873599,-0.2351988528879855,-0.9569127061165887,-0.16940636299114,0.1128907054662704,-0.4442515969276428,-0.888761043548584,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.639-08:00,89098.29382675,0.1229095458984375,-0.4214630126953125,-0.8814849853515625,89098.27383975001,2.763634859799633,0.1242186302757006,0.4578473789543265,-0.1758060902357101,-0.05313188955187798,0.04745443910360336,0.01239664107561111,0.005922019481658936,0.002383887767791748,XArbitraryZVertical,0.01682598904069501,-0.2338154575664241,-0.9573738007415995,-0.168767735978217,0.1111385300755501,-0.4420182108879089,-0.8900944590568542,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.659-08:00,89098.31381375001,0.1125030517578125,-0.380889892578125,-0.8826141357421875,89098.29382675,2.764573367264757,0.1228232442933841,0.4547951217372613,-0.1238890215754509,-0.04121339321136475,0.001929717604070902,0.0128483772277832,0.0178152322769165,0.01009851694107056,XArbitraryZVertical,0.0165665466964166,-0.2322365048962846,-0.9577858914176062,-0.1686357875609413,0.1100611835718155,-0.4392782747745514,-0.8915835022926331,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.679-08:00,89098.33379975001,0.1035308837890625,-0.42095947265625,-0.890472412109375,89098.31381375001,2.764362062928369,0.1223003944511799,0.4533699056015867,-0.01762338727712631,-0.0200731884688139,-0.02259715273976326,0.002831794321537018,0.05710756778717041,0.00964730978012085,XArbitraryZVertical,0.01643119179321104,-0.2315152330769289,-0.9579217002739409,-0.1688694031999304,0.1096712723374367,-0.4379974901676178,-0.8922614455223083,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.699-08:00,89098.35378675001,0.1093902587890625,-0.4676666259765625,-0.8825531005859375,89098.33379975001,2.763844276547647,0.1221990048808738,0.4531934626624115,-0.01946949027478695,-0.01532750204205513,-0.02037501148879528,-0.006059326231479645,0.0168793797492981,0.0018768310546875,XArbitraryZVertical,0.0163399976362682,-0.2314268636333909,-0.9578971881051747,-0.1691379791807354,0.1095902174711227,-0.4378388524055481,-0.8923492431640625,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.719-08:00,89098.37377375001,0.1174774169921875,-0.4688568115234375,-0.87298583984375,89098.35378675001,2.763635795602676,0.1219000334201517,0.451816625074462,-0.1201260611414909,-0.02426330745220184,-0.007699296344071627,-6.362795829772949e-06,-0.03106603026390076,0.01042640209197998,XArbitraryZVertical,0.01630771745568286,-0.230747327033415,-0.9580256964135601,-0.1693415124808106,0.1093966290354729,-0.4366005957126617,-0.8929794430732727,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.739-08:00,89098.39375975,0.1137237548828125,-0.456451416015625,-0.883026123046875,89098.37377375001,2.764370567729668,0.1209847229299215,0.4485628157725128,-0.2044674009084702,-0.03407430648803711,0.02776080369949341,0.008727319538593292,-0.03518584370613098,0.02149885892868042,XArbitraryZVertical,0.01627237951811859,-0.2291131951718509,-0.9584332586650112,-0.1692572227681877,0.1087501049041748,-0.4336709678173065,-0.8944846987724304,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.759-08:00,89098.41374675001,0.10577392578125,-0.4066314697265625,-0.8936004638671875,89098.39375975,2.765525472032397,0.1197103594285385,0.4455081176640118,-0.11618422716856,-0.04156499728560448,0.0412273220717907,0.005955949425697327,-0.025534987449646,0.01290756464004517,XArbitraryZVertical,0.01609170883582747,-0.2275395090067137,-0.9588564864047245,-0.1690004203078668,0.107767827808857,-0.4309164583683014,-0.8959336280822754,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
2026-03-03T15:48:18.779-08:00,89098.43373375,0.1008758544921875,-0.444427490234375,-0.8784637451171875,89098.41374675001,2.766904276853595,0.1182413406896729,0.4444450127653847,-0.02152491919696331,-0.0415164940059185,0.07396427541971207,-0.0007316097617149353,0.02332538366317749,0.0029449462890625,XArbitraryZVertical,0.01564739941303597,-0.2268974663028648,-0.9590937299162173,-0.1685582937460513,0.1065055429935455,-0.4299568831920624,-0.89654541015625,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,0
